,Unnamed: 0,Connectivity_Index,ADOS_TOTAL_Corr,ADOS_COMM_Corr,ADOS_SOCIAL_Corr,ADOS_STEREO_Corr,Unnamed: 0.1,First_ROI_Index,First_ROI_Name,Second_ROI_Index,Second_ROI_Name,P_Values,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group,First_ROI_Network,Second_ROI_Network,Networks
0,0,1158,-0.30156258,-0.21269083,-0.2938285,-0.0798048,46,32,"Inferior parietal lobule ([IPL], 32)",44,Precuneus (44),0.0029383019571459,-0.1236480225841056,-0.2063941077383414,0.218632072032268,0.243619785865765,ASD,CC,DM,CC-DM
1,1,1163,-0.2978184,-0.35421467,-0.20439257,-0.23963556,104,32,"Inferior parietal lobule ([IPL], 32)",49,"Posterior cingulate cortex ([PCC], 49)",0.0147666015058352,0.0233498873977181,-0.056309808520156,0.2294437239144982,0.3058746866701926,ASD,CC,DM,CC-DM
2,2,1118,-0.27417284,-0.16438067,-0.28490373,0.008126045,135,30,"Right inferior frontal gyrus ([R IFG], 30)",47,"Anterior cingulate cortex ([ACC], 47)",0.0273813255628305,0.0171295038224393,-0.0375012107886084,0.1931891373350478,0.2191443636010253,ASD,CC,DM,CC-DM
3,3,1159,-0.2719346,-0.23275475,-0.24090661,-0.114987485,125,32,"Inferior parietal lobule ([IPL], 32)",45,"Anterior cingulate cortex ([ACC], 45)",0.0234463519806239,-0.0152434212871011,-0.0816827882479606,0.2354482671147912,0.2543121278488744,ASD,CC,DM,CC-DM
4,4,541,-0.22253323,-0.14728229,-0.22290017,-0.17921135,185,12,"Superior parietal lobule ([SPL], 12)",37,"Hippocampus ([HiPP], 37)",0.0451392502395767,-0.0059114442512874,0.0375161590025105,0.1886610323699848,0.1763208283869836,TD,SM,CC,SM-CC
5,5,1016,-0.20619603,-0.22629179,-0.16072436,0.08861971,30,26,"Inferior parietal lobule ([IPL], 26)",43,Precuneus (43),0.0011426396974307,0.1514641740590096,0.2462341459385809,0.2498706263629307,0.2375845285319137,TD,CC,DM,CC-DM
6,6,1210,-0.2009469,-0.27465242,-0.11508928,-0.100978576,159,35,"Superior frontal gyrus ([SFG], 35)",39,"Middle cingulate cortex ([MCC], 39)",0.0330346612839581,0.2233307321797544,0.1602770955010923,0.2286307036300451,0.263418588395585,ASD,CC,CC,CC-CC
7,7,1067,-0.18491796,-0.16380894,-0.1621085,0.18419895,14,28,"Superior medial frontal gyrus ([SMFG], 28)",43,Precuneus (43),0.0003017602502096,-0.0217729377319557,0.094176644467069,0.2845245030087145,0.2520931513827637,TD,CC,DM,CC-DM
8,8,1153,-0.18113649,-0.18286146,-0.14328039,0.003602763,55,32,"Inferior parietal lobule ([IPL], 32)",39,"Middle cingulate cortex ([MCC], 39)",0.0036847056906456,0.0873517644082278,0.0086306515507954,0.1996400381051497,0.2469626238480597,ASD,CC,CC,CC-CC
9,9,802,-0.17772691,-0.08486109,-0.19791804,0.1670058,153,19,"Middle temporal gyrus ([MTG], 19)",39,"Middle cingulate cortex ([MCC], 39)",0.0321667237570789,-0.0265004560917008,-0.0867229697699774,0.2430642502255191,0.2298232703414169,ASD,VIS,CC,VIS-CC
