,Connectivity_Index,First_ROI_Index,First_ROI_Name,Second_ROI_Index,Second_ROI_Name,P_Values,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group
0,1345,45,"Anterior cingulate cortex ([ACC], 45)",49,"Posterior cingulate cortex ([PCC], 49)",1.6947280439114638e-05,0.20929083078948793,0.3081007490469866,0.20189242121523285,0.23285407837045147,TD
1,800,19,"Middle temporal gyrus ([MTG], 19)",37,"Hippocampus ([HiPP], 37)",3.8337341065461554e-05,-0.001452535945319865,-0.11037314427908755,0.23967116969256244,0.2623852754637911,ASD
2,1333,44,Precuneus (44),45,"Anterior cingulate cortex ([ACC], 45)",6.968996879798165e-05,0.0948561751365182,0.18168062543308472,0.20022580559579117,0.2145809781059936,TD
3,1291,40,"Inferior frontal gyrus ([IFG], 40)",45,"Anterior cingulate cortex ([ACC], 45)",0.00010485546885903809,0.026512521207205632,-0.0664421862331167,0.22742554856059793,0.22850890287858272,ASD
4,978,25,"Middle temporal gyrus ([MTG], 25)",32,"Inferior parietal lobule ([IPL], 32)",0.0001793505021819871,-0.056229883983079,0.019634774219666966,0.1668592280645819,0.21536876765761387,TD
5,1303,41,"Middle frontal gyrus ([MiFG], 41)",45,"Anterior cingulate cortex ([ACC], 45)",0.00024269603875611234,0.14262480970566208,0.05698117704308441,0.22830953542751645,0.21609658704137005,ASD
6,185,4,Caudate (4),37,"Hippocampus ([HiPP], 37)",0.000301772569298078,0.1405504623145483,0.052253729544093165,0.21231682984400196,0.25135244174745713,ASD
7,983,25,"Middle temporal gyrus ([MTG], 25)",37,"Hippocampus ([HiPP], 37)",0.00031735575296692163,0.08606994160672307,0.0027610528521996676,0.19528217989308,0.24274445271783446,ASD
8,1293,40,"Inferior frontal gyrus ([IFG], 40)",47,"Anterior cingulate cortex ([ACC], 47)",0.0005296545344587705,0.008343912698818472,-0.07677163421714625,0.22874340765460996,0.23938777048943324,ASD
9,1323,43,Precuneus (43),44,Precuneus (44),0.000599600395948611,0.15317664892907748,0.2300961438659465,0.1956039983512629,0.23021848406418063,TD
10,646,15,"Superior parietal lobule ([SPL], 15)",25,"Middle temporal gyrus ([MTG], 25)",0.0008366996030285654,0.07911711738863028,0.15439888860150355,0.19603742895178408,0.2321893312453147,TD
11,738,17,"Calcarine gyrus ([CalcarineG], 17)",44,Precuneus (44),0.0009784616809681728,0.18014293875097212,0.2563956640240879,0.20817071473568197,0.23238473876902643,TD
12,712,17,"Calcarine gyrus ([CalcarineG], 17)",18,"Middle occipital gyrus ([MOG], 18)",0.001018194189008202,0.15271750875632747,0.06627908462583668,0.2728694114068224,0.22734218710944046,ASD
13,1309,41,"Middle frontal gyrus ([MiFG], 41)",51,"Cerebellum ([CB], 51)",0.001423675772548492,-0.007098445459352207,0.07071849668745284,0.23459765786852224,0.2311173102477349,TD
14,1310,41,"Middle frontal gyrus ([MiFG], 41)",52,"Cerebellum ([CB], 52)",0.001720946835862042,-0.06375191149611746,0.001974730020901176,0.18868249973922005,0.21095470089169677,TD
15,1157,32,"Inferior parietal lobule ([IPL], 32)",43,Precuneus (43),0.0017709263192127191,0.10001455398015996,0.036545172779304004,0.1829577869319709,0.20403596630933338,ASD
