,Unnamed: 0,Connectivity_Index,ADOS_TOTAL_Corr,ADOS_COMM_Corr,ADOS_SOCIAL_Corr,ADOS_STEREO_Corr,Unnamed: 0.1,First_ROI_Index,First_ROI_Name,Second_ROI_Index,Second_ROI_Name,P_Values,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group,First_ROI_Network,Second_ROI_Network,Networks
0,0,1323,-0.31495157,-0.29735196,-0.26264444,-0.19452326,41,43,Precuneus (43),44,Precuneus (44),0.0054289590733764,0.3148740569689964,0.3902772154213742,0.2296912427827892,0.2410293466973501,TD,DM,DM,DM-DM
1,1,1328,-0.26340932,-0.26545045,-0.20942874,-0.0889393,135,43,Precuneus (43),49,"Posterior cingulate cortex ([PCC], 49)",0.0265233164496502,0.3319385961244188,0.3958968162633762,0.255540761375719,0.2474021996314844,TD,DM,DM,DM-DM
2,2,967,-0.262553,-0.082809255,-0.318333,-0.091001384,80,24,"Lingual gyrus ([LingualG], 24)",49,"Posterior cingulate cortex ([PCC], 49)",0.0134573523133025,0.165874770871395,0.1099855857973575,0.1869776545640951,0.2051921858815191,ASD,VIS,DM,VIS-DM
3,3,1069,-0.22801903,-0.18739876,-0.20674413,-0.17261101,27,28,"Superior medial frontal gyrus ([SMFG], 28)",45,"Anterior cingulate cortex ([ACC], 45)",0.0035028155655943,0.3020883569738233,0.3858544544208072,0.2519803186844726,0.2468848240936223,TD,CC,DM,CC-DM
4,4,1004,-0.20038794,-0.21993746,-0.14856204,0.111055225,115,26,"Inferior parietal lobule ([IPL], 26)",31,"Middle frontal gyrus ([MiFG], 31)",0.0218924403393155,0.2475289224697425,0.1866917924205742,0.216913145835562,0.2431129819598148,ASD,CC,CC,CC-CC
5,5,643,-0.19401357,-0.11738269,-0.20319,-0.004151356,12,15,"Superior parietal lobule ([SPL], 15)",22,Fusiform gyrus (22),0.000824537298967,-0.0540098316136188,0.0372420081247756,0.2168285211657552,0.2526364659351842,TD,SM,VIS,SM-VIS
6,6,773,-0.1777969,-0.09500684,-0.19165401,0.018869782,87,18,"Middle occipital gyrus ([MOG], 18)",44,Precuneus (44),0.014767722305095,0.0856637792620943,0.0196060886018585,0.2266520808454815,0.2437796957388404,ASD,VIS,DM,VIS-DM
7,7,1220,-0.16043493,-0.14026378,-0.14088051,-0.24440974,9,35,"Superior frontal gyrus ([SFG], 35)",49,"Posterior cingulate cortex ([PCC], 49)",0.0006596394815777,0.3301163626779654,0.4307175290580898,0.2688947151288772,0.2441300563012698,TD,CC,DM,CC-DM
8,8,676,-0.16025947,-0.19897515,-0.10746334,-0.18144336,107,16,"Postcentral gyrus ([PoCG], 16)",18,"Middle occipital gyrus ([MOG], 18)",0.0201693145223107,-0.1121271805469592,-0.0529355537907378,0.2337857941040117,0.211002363242014,TD,SM,VIS,SM-VIS
9,9,893,-0.15488614,-0.047349118,-0.18810385,0.048899293,18,22,Fusiform gyrus (22),34,"Supplementary motor area ([SMA], 34)",0.0016453766433261,-0.0437053315545959,-0.120232887023543,0.2136277927263177,0.2086788215435882,ASD,VIS,CC,VIS-CC
10,10,1233,-0.15383859,-0.09549749,-0.15812173,0.050139528,33,36,"Middle frontal gyrus ([MiFG], 36)",45,"Anterior cingulate cortex ([ACC], 45)",0.0043366792917917,0.0204744342428113,-0.0585585865695338,0.23051806604829,0.249509938355051,ASD,CC,DM,CC-DM
11,11,1284,-0.14860934,-0.21714923,-0.07822449,-0.24757157,147,39,"Middle cingulate cortex ([MCC], 39)",51,"Cerebellum ([CB], 51)",0.0315680684588113,-0.094470019756248,-0.0344833315807859,0.2340870246024519,0.250975405094288,TD,CC,CB,CC-CB
12,12,1336,-0.14785504,-0.07760884,-0.1602042,0.108468,16,44,Precuneus (44),48,Precuneus (48),0.0013540426360869,0.1184114558760305,0.2107801100381677,0.2514523769354175,0.2489427455148523,TD,DM,DM,DM-DM
13,13,1345,-0.1445271,-0.08806051,-0.15034999,-0.24325483,1,45,"Anterior cingulate cortex ([ACC], 45)",49,"Posterior cingulate cortex ([PCC], 49)",7.125563711210067e-05,0.3066474543110237,0.4191080138401602,0.2446487384597059,0.2444755002684832,TD,DM,DM,DM-DM
14,14,778,-0.14357707,-0.019454593,-0.18919918,-0.16809122,25,18,"Middle occipital gyrus ([MOG], 18)",49,"Posterior cingulate cortex ([PCC], 49)",0.0033943752285478,0.096663693105186,0.0182697097886138,0.2382969376121027,0.2272912608077639,ASD,VIS,DM,VIS-DM
15,15,1324,-0.14335066,-0.10575368,-0.13761015,-0.15291475,24,43,Precuneus (43),45,"Anterior cingulate cortex ([ACC], 45)",0.0032365865023644,0.1283664631130134,0.2059782547380221,0.2446671377758737,0.2143160781468436,TD,DM,DM,DM-DM
16,16,1344,-0.14167814,-0.10280512,-0.13658156,0.10739597,178,45,"Anterior cingulate cortex ([ACC], 45)",48,Precuneus (48),0.0457626777338322,0.0062943161855564,0.0579763853281208,0.2419500418120995,0.2102626042361584,TD,DM,DM,DM-DM
17,17,1293,-0.13973051,-0.07943207,-0.14801581,0.13316722,129,40,"Inferior frontal gyrus ([IFG], 40)",47,"Anterior cingulate cortex ([ACC], 47)",0.0251255300101509,-0.026721843493153,-0.0866424550275311,0.2437380472684504,0.2234425900938177,ASD,CC,DM,CC-DM
18,18,1159,-0.13910998,-0.13056119,-0.116354935,0.06941751,55,32,"Inferior parietal lobule ([IPL], 32)",45,"Anterior cingulate cortex ([ACC], 45)",0.0082768062032787,-0.1120967729744019,-0.184497035726035,0.2467912829400489,0.2310493637013481,ASD,CC,DM,CC-DM
19,19,962,-0.13781026,-0.030139226,-0.17450911,0.036372337,134,24,"Lingual gyrus ([LingualG], 24)",44,Precuneus (44),0.0264722558886543,0.1436342500672108,0.0922174924109668,0.1802547672086043,0.2191765685804601,ASD,VIS,DM,VIS-DM
20,20,1277,-0.12916707,-0.058637377,-0.14545116,0.012620408,23,39,"Middle cingulate cortex ([MCC], 39)",44,Precuneus (44),0.0032235323506553,-0.0769496483959222,0.0029912371200726,0.2380956362843684,0.2337352800531925,TD,CC,DM,CC-DM
21,21,1178,-0.12058705,-0.10349007,-0.10676755,-0.061017495,45,33,"Left inferior parietal lobue ([R IPL], 33)",44,Precuneus (44),0.0055307475248219,-0.253542558259776,-0.3238756830727765,0.2377502941457991,0.203986501532861,ASD,CC,DM,CC-DM
22,22,388,-0.119973056,-0.07015327,-0.1271179,-0.08230166,92,9,"Left postcentral gyrus ([L PoCG], 9)",10,"Paracentral lobule ([ParaCL], 10)",0.0168809607217665,0.1552077847404601,0.2302064582184152,0.258535916726163,0.2857741254401121,TD,SM,SM,SM-SM
23,23,627,-0.117014766,-0.05601591,-0.13036746,0.14993276,103,14,"Precentral gyrus ([PreCG], 14)",44,Precuneus (44),0.0188604182410908,-0.1901015512933133,-0.257198544894153,0.2705966821464984,0.2280964840307591,ASD,SM,DM,SM-DM
24,24,1216,-0.116894476,-0.10794326,-0.09900403,-0.31072977,5,35,"Superior frontal gyrus ([SFG], 35)",45,"Anterior cingulate cortex ([ACC], 45)",0.0002190286320933,0.1564188750987506,0.2515944664259261,0.2335665903753543,0.2129162011347566,TD,CC,DM,CC-DM
25,25,140,-0.11179933,-0.0522413,-0.12573282,-0.08998077,118,3,Putamen (3),41,"Middle frontal gyrus ([MiFG], 41)",0.0226168186446698,-0.047605336417081,0.0104438945817034,0.2179244702045146,0.2252255852831567,TD,SC,CC,SC-CC
26,26,1070,-0.10929963,-0.13871895,-0.06983689,0.06670558,117,28,"Superior medial frontal gyrus ([SMFG], 28)",46,"Posterior cingulate cortex ([PCC], 46)",0.0223211856601545,0.0984156037777706,0.1604363495733928,0.248056391887365,0.2258443875234544,TD,CC,DM,CC-DM
27,27,49,-0.10432326,-0.081457675,-0.097089306,-0.16329631,37,1,Caudate (1),51,"Cerebellum ([CB], 51)",0.0049383574335816,-0.046660878170316,0.0262145326687827,0.2237002857402562,0.226838526564683,TD,SC,CB,SC-CB
28,28,471,-0.10405372,-0.1057691,-0.08217393,0.0060993778,36,10,"Paracentral lobule ([ParaCL], 10)",50,"Cerebellum ([CB], 50)",0.0044671768596798,-0.0573805395841641,-0.1379477576471903,0.2286828396351667,0.2608249141760727,ASD,SM,CB,SM-CB
29,29,658,-0.1040407,-0.07218369,-0.102232344,-0.14664876,38,15,"Superior parietal lobule ([SPL], 15)",37,"Hippocampus ([HiPP], 37)",0.0049436811727936,-0.0947903691830512,-0.030345809130335,0.1817017890701455,0.2136196380597222,TD,SM,CC,SM-CC
