,Connectivity_Index,P_values,ADOS_Correlation,ROI_1_Index,ROI_2_Index,ROI_1_Name,ROI_2_Name
141,1158,0.002938302,-0.30156258,32,44,"Inferior parietal lobule ([IPL], 32)",Precuneus (44)
143,1163,0.014766602,-0.2978184,32,49,"Inferior parietal lobule ([IPL], 32)","Posterior cingulate cortex ([PCC], 49)"
132,1118,0.027381325,-0.27417284,30,47,"Right inferior frontal gyrus ([R IFG], 30)","Anterior cingulate cortex ([ACC], 47)"
142,1159,0.023446351,-0.2719346,32,45,"Inferior parietal lobule ([IPL], 32)","Anterior cingulate cortex ([ACC], 45)"
44,541,0.04513925,-0.22253323,12,37,"Superior parietal lobule ([SPL], 12)","Hippocampus ([HiPP], 37)"
110,1016,0.0011426397,-0.20619603,26,43,"Inferior parietal lobule ([IPL], 26)",Precuneus (43)
155,1210,0.03303466,-0.2009469,35,39,"Superior frontal gyrus ([SFG], 35)","Middle cingulate cortex ([MCC], 39)"
122,1067,0.00030176024,-0.18491796,28,43,"Superior medial frontal gyrus ([SMFG], 28)",Precuneus (43)
139,1153,0.0036847056,-0.18113649,32,39,"Inferior parietal lobule ([IPL], 32)","Middle cingulate cortex ([MCC], 39)"
83,802,0.032166723,-0.17772691,19,39,"Middle temporal gyrus ([MTG], 19)","Middle cingulate cortex ([MCC], 39)"
140,1155,0.03266694,-0.15560533,32,41,"Inferior parietal lobule ([IPL], 32)","Middle frontal gyrus ([MiFG], 41)"
36,395,0.029677643,-0.13471016,9,17,"Left postcentral gyrus ([L PoCG], 9)","Calcarine gyrus ([CalcarineG], 17)"
92,875,0.049895283,-0.13254161,21,47,"Right middle occipital gyrus ([R MOG], 21)","Anterior cingulate cortex ([ACC], 47)"
94,893,0.010878532,-0.13205221,22,34,Fusiform gyrus (22),"Supplementary motor area ([SMA], 34)"
105,965,0.021978261,-0.13079326,24,47,"Lingual gyrus ([LingualG], 24)","Anterior cingulate cortex ([ACC], 47)"
53,665,0.013133534,-0.12886879,15,44,"Superior parietal lobule ([SPL], 15)",Precuneus (44)
68,753,0.0052696588,-0.12846147,18,24,"Middle occipital gyrus ([MOG], 18)","Lingual gyrus ([LingualG], 24)"
185,1328,0.002267831,-0.1262033,43,49,Precuneus (43),"Posterior cingulate cortex ([PCC], 49)"
2,42,0.0015078489,-0.120523594,1,44,Caudate (1),Precuneus (44)
3,49,0.01234371,-0.11830227,1,51,Caudate (1),"Cerebellum ([CB], 51)"
67,749,0.0032936165,-0.10902935,18,20,"Middle occipital gyrus ([MOG], 18)",Cuneus (20)
182,1324,0.0006951695,-0.10868289,43,45,Precuneus (43),"Anterior cingulate cortex ([ACC], 45)"
