,Unnamed: 0,Unnamed: 0.1,Connectivity_Index,P_values,ADOS_Correlation,ROI_1_Index,ROI_2_Index,ROI_1_Name,ROI_2_Name,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group,COMM_Correlation
0,0,82,1237,0.035829585,-0.4736543,36,49,"Middle frontal gyrus ([MiFG], 36)","Posterior cingulate cortex ([PCC], 49)",-0.0866332188572365,-0.1742651211140444,0.2397819238643151,0.237524272149934,ASD,-0.3735408
1,1,38,684,0.02796573,-0.37113285,16,26,"Postcentral gyrus ([PoCG], 16)","Inferior parietal lobule ([IPL], 26)",0.003118702549316,-0.0948381986003987,0.2630904035587518,0.2476988590587922,ASD,-0.23890053
2,2,87,1294,0.044729427,-0.3344764,40,48,"Inferior frontal gyrus ([IFG], 40)",Precuneus (48),-0.0171389645195146,-0.1067319920027049,0.2432776127076907,0.2636558747958386,ASD,-0.18043272
3,3,30,596,0.038548354,-0.3229972,13,52,"Paracentral lobule ([ParaCL], 13)","Cerebellum ([CB], 52)",0.024874371304162,0.1209278052252744,0.2630591257815954,0.2668710948780076,TD,-0.3722757
4,4,56,958,0.011014862,-0.3167287,24,40,"Lingual gyrus ([LingualG], 24)","Inferior frontal gyrus ([IFG], 40)",-0.020594761345951,-0.1216676999496378,0.2331375697838372,0.2209359986372081,ASD,-0.22871667
5,5,48,836,0.040491745,-0.306518,20,40,Cuneus (20),"Inferior frontal gyrus ([IFG], 40)",-0.0390341485605447,-0.1313877053014372,0.2506632788281899,0.2626529333560284,ASD,-0.2126619
6,6,90,1324,0.008368493,-0.2645276,43,45,Precuneus (43),"Anterior cingulate cortex ([ACC], 45)",-0.0459982090096714,0.0731464018276569,0.2527303060438476,0.2599381855865618,TD,-0.3609791
7,7,43,734,0.0044592875,-0.2477067,17,40,"Calcarine gyrus ([CalcarineG], 17)","Inferior frontal gyrus ([IFG], 40)",-0.0453761472761192,-0.1737507245350154,0.2564260845508919,0.2558658521463244,ASD,-0.09095842
8,8,67,1120,0.016166558,-0.22732133,30,49,"Right inferior frontal gyrus ([R IFG], 30)","Posterior cingulate cortex ([PCC], 49)",0.0482351631666834,-0.0449911395020521,0.2279517404845156,0.2153796092121429,ASD,-0.13366355
9,9,1,31,0.012700205,-0.21989888,1,33,Caudate (1),"Left inferior parietal lobue ([R IPL], 33)",-0.2400094465374355,-0.1199161380858426,0.2123835003639579,0.3127130850919342,TD,-0.122032635
10,10,36,647,0.014020433,-0.21858472,15,26,"Superior parietal lobule ([SPL], 15)","Inferior parietal lobule ([IPL], 26)",0.078369056356423,-0.037686612434454,0.2890006518644358,0.2530744984775604,ASD,-0.26917502
11,11,4,83,0.0064573186,-0.21165995,2,34,Subthalamus/hypothalamus (2),"Supplementary motor area ([SMA], 34)",-0.00731957574188,-0.1146739492176143,0.1827781397419855,0.2502297793367287,ASD,-0.14218509
12,12,26,530,0.0019524569,-0.19800349,12,26,"Superior parietal lobule ([SPL], 12)","Inferior parietal lobule ([IPL], 26)",-0.0278756228582033,-0.1727058613470895,0.2677580621975853,0.262087960138046,ASD,-0.112815775
13,13,0,23,0.04370748,-0.19628881,1,25,Caudate (1),"Middle temporal gyrus ([MTG], 25)",-0.0254860540004346,-0.1274137372246459,0.2876054601355389,0.2897812952323808,ASD,-0.2174556
14,14,70,1157,0.045958865,-0.19328447,32,43,"Inferior parietal lobule ([IPL], 32)",Precuneus (43),0.1148095238794448,0.0292992395452741,0.2548455085141314,0.2372544689390613,ASD,-0.13202673
15,15,2,32,0.0091543915,-0.16520606,1,34,Caudate (1),"Supplementary motor area ([SMA], 34)",-0.0104624481178023,-0.1227922019655761,0.228759212567242,0.2566333585051533,ASD,-0.09710985
